Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,
POPULATION_S SP,48349.95425,50086.2754,58765.58902,59621.71569,64583.12446,69088.39078,64455.90885,55736.48221,51751.53919,49020.41489,43727.7871,35715.49587,26002.41216,16894.46217,11592.66568,16551.78228,,,,,,,
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51,,,,,,,
Natalidade,0.000255928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"21,8","26,8","41,6","9,8",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,14,28,42,,,,,,,,,,,,,,,,,,,,
,54,147,201,,,,,,,,,,,,,,,,,,,,
,266,549,815,,,,,,,,,,,,,,,,,,,,
,789,1452,2241,,,,,,,,,,,,,,,,,,,,
,1741,2650,4391,,,,,,,,,,,,,,,,,,,,
,2761,3991,6752,14442,16551.78228,16551.78228,,,,,,,,,,,,,,,,,
,4484,5631,10115,10115,11592.66568,11592.66568,,48349.95425,50086.2754,58765.58902,59621.71569,64583.12446,69088.39078,64455.90885,55736.48221,51751.53919,49020.41489,43727.7871,35715.49587,26002.41216,16894.46217,11592.66568,16551.78228
,6955,7786,14741,14741,16894.46217,16894.46217,,,,,,,,,,,,,,,,,
,10814,11874,22688,22688,26002.41216,26002.41216,,,,,,,,,,,,,,,,,
,14909,16254,31163,31163,35715.49587,35715.49587,,,,,,,,,,,,,,,,,
,18343,19811,38154,38154,43727.7871,43727.7871,,,,,,,,,,,,,,,,,
,20015,22757,42772,42772,49020.41489,49020.41489,,,,,,,colapso,,,,,,,,,,
,21723,23432,45155,45155,51751.53919,51751.53919,,,,,Sem intervencao,959,25 dias zero ou 2 dias de hoje,,,,,,,,,,
,23723,24909,48632,48632,55736.48221,55736.48221,,,,,,,,,,,,,,,,,
,27760,28480,56240,56240,64455.90885,64455.90885,,,,,,,,,,,,,,,,,
,29718,30564,60282,60282,69088.39078,69088.39078,,,,,,,,,,,,,,,,,
,28465,27886,56351,56351,64583.12446,64583.12446,,,,,,,,,,,,,,,,,
,26269,25753,52022,52022,59621.71569,59621.71569,,,,,,,,,,,,,,,,,
,26101,25174,51275,51275,58765.58902,58765.58902,,,,,,,,,,,,,,,,,
,22417,21285,43702,43702,50086.2754,50086.2754,,,,,,,,,,,,,,,,,
,21303,20884,42187,42187,48349.95425,48349.95425,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,629921,,,,274.33872,,,,,,,,,,,,,,,
,,,,721944,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1.1375,,,,,,,,,,,,,,,,,,,,,
